scenario,group,scenario_folder,mode,images,audio,run_id,multi
scenario1,dia,scenario1D,day,"28,57",scenario1_audio1,img28_img57_aud1,True
scenario1,dia,scenario1D,day,"29,57",scenario1_audio1,img29_img57_aud1,True
scenario1,dia,scenario1D,day,26,scenario1_audio2,img26_aud2,False
scenario1,dia,scenario1D,day,27,scenario1_audio2,img27_aud2,False
scenario1,dia,scenario1D,day,28,scenario1_audio2,img28_aud2,False
scenario1,dia,scenario1D,day,29,scenario1_audio2,img29_aud2,False
scenario1,dia,scenario1D,day,57,scenario1_audio2,img57_aud2,False
scenario1,dia,scenario1D,day,"26,27",scenario1_audio2,img26_img27_aud2,True
scenario1,dia,scenario1D,day,"26,28",scenario1_audio2,img26_img28_aud2,True
scenario1,dia,scenario1D,day,"26,29",scenario1_audio2,img26_img29_aud2,True
scenario1,dia,scenario1D,day,"26,57",scenario1_audio2,img26_img57_aud2,True
scenario1,dia,scenario1D,day,"27,28",scenario1_audio2,img27_img28_aud2,True
scenario1,dia,scenario1D,day,"27,29",scenario1_audio2,img27_img29_aud2,True
scenario1,dia,scenario1D,day,"27,57",scenario1_audio2,img27_img57_aud2,True
scenario1,dia,scenario1D,day,"28,29",scenario1_audio2,img28_img29_aud2,True
scenario1,dia,scenario1D,day,"28,57",scenario1_audio2,img28_img57_aud2,True
scenario1,dia,scenario1D,day,"29,57",scenario1_audio2,img29_img57_aud2,True
scenario1,dia,scenario1D,day,26,scenario1_audio3,img26_aud3,False
scenario1,dia,scenario1D,day,27,scenario1_audio3,img27_aud3,False
scenario1,dia,scenario1D,day,28,scenario1_audio3,img28_aud3,False
scenario1,dia,scenario1D,day,29,scenario1_audio3,img29_aud3,False
scenario1,dia,scenario1D,day,57,scenario1_audio3,img57_aud3,False
scenario1,dia,scenario1D,day,"26,27",scenario1_audio3,img26_img27_aud3,True
scenario1,dia,scenario1D,day,"26,28",scenario1_audio3,img26_img28_aud3,True
scenario1,dia,scenario1D,day,"26,29",scenario1_audio3,img26_img29_aud3,True
scenario1,dia,scenario1D,day,"26,57",scenario1_audio3,img26_img57_aud3,True
scenario1,dia,scenario1D,day,"27,28",scenario1_audio3,img27_img28_aud3,True
scenario1,dia,scenario1D,day,"27,29",scenario1_audio3,img27_img29_aud3,True
scenario1,dia,scenario1D,day,"27,57",scenario1_audio3,img27_img57_aud3,True
scenario1,dia,scenario1D,day,"28,29",scenario1_audio3,img28_img29_aud3,True
scenario1,dia,scenario1D,day,"28,57",scenario1_audio3,img28_img57_aud3,True
scenario1,dia,scenario1D,day,"29,57",scenario1_audio3,img29_img57_aud3,True
scenario2,tarde,scenario2T,day,4,scenario2_audio1,img4_aud1,False
scenario2,tarde,scenario2T,day,5,scenario2_audio1,img5_aud1,False
scenario2,tarde,scenario2T,day,6,scenario2_audio1,img6_aud1,False
scenario2,tarde,scenario2T,day,7,scenario2_audio1,img7_aud1,False
scenario2,tarde,scenario2T,day,25,scenario2_audio1,img25_aud1,False
scenario2,tarde,scenario2T,day,"4,5",scenario2_audio1,img4_img5_aud1,True
scenario2,tarde,scenario2T,day,"4,6",scenario2_audio1,img4_img6_aud1,True
scenario2,tarde,scenario2T,day,"4,7",scenario2_audio1,img4_img7_aud1,True
scenario2,tarde,scenario2T,day,"4,25",scenario2_audio1,img4_img25_aud1,True
scenario2,tarde,scenario2T,day,"5,6",scenario2_audio1,img5_img6_aud1,True
scenario2,tarde,scenario2T,day,"5,7",scenario2_audio1,img5_img7_aud1,True
scenario2,tarde,scenario2T,day,"5,25",scenario2_audio1,img5_img25_aud1,True
scenario2,tarde,scenario2T,day,"6,7",scenario2_audio1,img6_img7_aud1,True
scenario2,tarde,scenario2T,day,"6,25",scenario2_audio1,img6_img25_aud1,True
scenario2,tarde,scenario2T,day,"7,25",scenario2_audio1,img7_img25_aud1,True
